No,Nama Menu,Menu Name (EN),Harga,Kategori,Category (EN),Deskripsi (ID),Description (EN)
16,Cap Cay Ayam,Chicken Cap Cay,"Rp 28,000",Sayuran,Vegetables,Cap cay ayam berisi aneka sayuran dengan kuah ringan dan potongan ayam.,"Chicken cap cay with mixed vegetables, light broth, and chicken pieces."
17,Cap Cay Udang,Shrimp Cap Cay,"Rp 35,000",Sayuran,Vegetables,Cap cay udang dengan sayuran segar dan rasa seafood yang lembut.,Shrimp cap cay with fresh vegetables and a gentle seafood flavor.
18,Cap Cay Cumi,Squid Cap Cay,"Rp 35,000",Sayuran,Vegetables,Cap cay cumi menghadirkan sayuran renyah dengan tambahan cumi yang gurih.,Squid cap cay combines crisp vegetables with savory squid pieces.
19,Plecing Kangkung,Water Spinach with Spicy Tomato Sambal,"Rp 13,500",Sayuran,Vegetables,Plecing kangkung segar dengan sambal tomat pedas yang khas dan menyegarkan.,Fresh water spinach served with spicy tomato sambal for a bright Balinese taste.
20,Tumis Kangkung,Sautéed Water Spinach,"Rp 13,500",Sayuran,Vegetables,Kangkung tumis sederhana dengan bumbu ringan yang cocok sebagai menu pendamping.,"Simple sautéed water spinach with light seasoning, ideal as a side dish."
21,Cah Sayur Hijau,Stir-Fried Green Vegetables,"Rp 18,000",Sayuran,Vegetables,"Sayur hijau ditumis cepat agar tetap segar, renyah, dan gurih.","Green vegetables stir-fried quickly to keep them fresh, crisp, and savory."
22,Tumis Ayam Brokoli,Chicken and Broccoli Stir-Fry,"Rp 35,000",Sayuran,Vegetables,Tumis ayam brokoli dengan paduan sayur dan protein yang terasa seimbang.,Chicken and broccoli stir-fry with a balanced mix of vegetables and protein.
23,Mujair Nyat-Nyat,Mujair Fish with Balinese Nyat-Nyat Sauce,"Rp 37,000",Signature,Signature Dishes,Mujair nyat-nyat dengan bumbu khas Bali yang meresap dan beraroma.,"Mujair fish in Balinese nyat-nyat sauce with deep, aromatic seasoning."
24,Ikan Laut Nyat-Nyat,Sea Fish with Balinese Nyat-Nyat Sauce,"Rp 45,000",Signature,Signature Dishes,Ikan laut nyat-nyat disajikan dengan bumbu Bali yang kuat dan kaya rasa.,Sea fish in Balinese nyat-nyat sauce with bold and rich seasoning.
25,Ayam Nyat-Nyat,Chicken with Balinese Nyat-Nyat Sauce,"Rp 24,000",Signature,Signature Dishes,"Ayam nyat-nyat berbumbu Bali, cocok untuk pencinta rasa gurih berempah.","Chicken in Balinese nyat-nyat sauce, perfect for lovers of savory spices."
26,Bebek Nyat-Nyat,Duck with Balinese Nyat-Nyat Sauce,"Rp 28,000",Signature,Signature Dishes,Bebek nyat-nyat dengan bumbu rempah yang pekat dan karakter rasa khas Bali.,Duck in nyat-nyat sauce with intense spices and a distinct Balinese character.
27,Udang Panggang Saus Madu,Grilled Prawns with Honey Sauce,"Rp 50,000",Panggang,Grilled Dishes,Udang panggang dengan saus madu yang memberi sentuhan manis dan gurih.,Grilled prawns with honey sauce for a sweet and savory finish.
28,Sosis Ayam,Grilled Chicken Sausage,"Rp 22,500",Panggang,Grilled Dishes,"Sosis ayam panggang dengan rasa ringan, cocok untuk pilihan sederhana.","Grilled chicken sausage with a light taste, ideal for a simple option."
29,Sosis Sapi,Grilled Beef Sausage,"Rp 22,500",Panggang,Grilled Dishes,Sosis sapi panggang dengan rasa lebih gurih dan aroma bakaran yang nikmat.,Grilled beef sausage with a deeper savory taste and pleasant grilled aroma.
30,Cumi Asam Manis Pedas,Spicy Sweet and Sour Squid,"Rp 50,000",Asam Manis,Sweet & Sour Dishes,Cumi asam manis pedas dengan saus segar yang memberi rasa seimbang.,"Squid in spicy sweet and sour sauce with a fresh, balanced flavor."
31,Gurame Asam Manis Pedas,Spicy Sweet and Sour Gurame,"Rp 55,000",Asam Manis,Sweet & Sour Dishes,Gurame asam manis pedas dengan saus berani yang cocok untuk makan bersama.,"Gurame in spicy sweet and sour sauce, a bold dish for sharing."
32,Udang Asam Manis Pedas,Spicy Sweet and Sour Prawns,"Rp 55,000",Asam Manis,Sweet & Sour Dishes,"Udang asam manis pedas dengan perpaduan rasa segar, gurih, dan sedikit pedas.","Prawns in spicy sweet and sour sauce with fresh, savory, and mildly spicy notes."
33,Ayam Panggang Saus Madu,Grilled Chicken with Honey Sauce,"Rp 18,000",Panggang,Grilled Dishes,Ayam panggang saus madu dengan rasa manis gurih dan aroma panggangan.,"Grilled chicken with honey sauce, offering sweet-savory flavor and grilled aroma."
34,Pizza Hot Baleganjur,Baleganjur Hot Pizza,"Rp 37,000",Pizza,Pizza,Pizza Hot Baleganjur dengan topping bercita rasa pedas khas untuk penikmat rasa kuat.,Baleganjur Hot Pizza with spicy toppings made for bold-flavor lovers.
35,Pizza Daging Keju,Ham and Cheese Pizza,"Rp 32,000",Pizza,Pizza,Pizza daging keju dengan kombinasi topping gurih dan lelehan keju.,Meat and cheese pizza with savory toppings and melted cheese.
36,Pizza Barbekyu,Barbecue Pizza,"Rp 32,000",Pizza,Pizza,Pizza barbekyu dengan saus khas yang memberi rasa smoky dan manis gurih.,"Barbecue pizza with signature sauce for a smoky, sweet-savory taste."
37,Pizza Hawai,Hawaiian Pizza,"Rp 32,000",Pizza,Pizza,Pizza Hawai dengan perpaduan topping gurih dan sentuhan buah yang segar.,Hawaiian pizza with savory toppings and a fresh fruity touch.
38,Pizza Vegetarian,Vegetarian Pizza,"Rp 32,000",Pizza,Pizza,Pizza vegetarian berisi aneka sayuran untuk pilihan yang lebih ringan.,Vegetarian pizza with assorted vegetables for a lighter choice.
39,Jus Jeruk,Orange Juice,"Rp 15,000",Jus,Juices,Jus jeruk segar dengan rasa manis asam yang menyegarkan.,Fresh orange juice with a refreshing sweet and tangy taste.
40,Jus Mangga,Mango Juice,"Rp 18,000",Jus,Juices,Jus mangga bertekstur lembut dengan rasa manis buah yang khas.,Mango juice with a smooth texture and naturally sweet tropical flavor.
41,Jus Blueberry,Blueberry Juice,"Rp 20,000",Jus,Juices,Jus blueberry dengan warna menarik dan rasa buah yang segar.,Blueberry juice with an appealing color and a fresh berry taste.
42,Jus Blackberry,Blackberry Juice,"Rp 20,000",Jus,Juices,Jus blackberry dengan karakter rasa buah beri yang sedikit asam dan segar.,Blackberry juice with a slightly tart and refreshing berry character.
43,Jus Mulberry,Mulberry Juice,"Rp 20,000",Jus,Juices,Jus mulberry yang ringan dengan rasa buah beri yang lembut.,Mulberry juice with a light body and gentle berry flavor.
44,Jus Raspberry,Raspberry Juice,"Rp 20,000",Jus,Juices,"Jus raspberry dengan rasa segar, wangi, dan sedikit asam.","Raspberry juice with a fragrant, refreshing, and slightly tangy taste."
45,Jus Stroberi,Strawberry Juice,"Rp 18,000",Jus,Juices,Jus stroberi manis segar dengan aroma buah yang mudah disukai.,Strawberry juice with a fresh sweetness and a familiar fruity aroma.
46,Jus Nanas,Pineapple Juice,"Rp 18,000",Jus,Juices,Jus nanas dengan rasa tropis yang cerah dan menyegarkan.,Pineapple juice with a bright and refreshing tropical taste.
47,Jus Melon,Melon Juice,"Rp 15,000",Jus,Juices,"Jus melon yang ringan, manis, dan cocok diminum saat cuaca panas.","Melon juice that is light, sweet, and perfect for warm days."
48,Jus Alpukat,Avocado Juice,"Rp 18,000",Jus,Juices,Jus alpukat kental dengan rasa creamy dan manis yang lembut.,Creamy avocado juice with a thick texture and gentle sweetness.
49,Jus Tomat,Tomato Juice,"Rp 10,000",Jus,Juices,Jus tomat segar dengan rasa ringan dan sedikit asam alami.,Fresh tomato juice with a light taste and natural mild acidity.
50,Jus Jambu,Guava Juice,"Rp 18,000",Jus,Juices,Jus jambu beraroma khas dengan rasa manis yang menyegarkan.,Guava juice with a distinctive aroma and refreshing sweetness.
51,Jus Buah Naga,Dragon Fruit Juice,"Rp 18,000",Jus,Juices,Jus buah naga dengan warna cerah dan rasa buah yang lembut.,Dragon fruit juice with a bright color and mellow fruity taste.
52,Jus Durian,Durian Juice,"Rp 18,000",Jus,Juices,Jus durian dengan rasa legit dan aroma khas yang kuat.,Durian juice with a rich sweetness and a bold signature aroma.
53,Jus Semangka,Watermelon Juice,"Rp 15,000",Jus,Juices,"Jus semangka yang ringan, segar, dan pas untuk melepas dahaga.","Watermelon juice that is light, fresh, and great for quenching thirst."
54,Jus Mixberry,Mixed Berry Juice,"Rp 22,000",Jus,Juices,Jus mixberry dengan perpaduan beberapa beri yang segar dan sedikit asam.,"Mixed berry juice with a blend of berries for a fresh, slightly tangy taste."
55,Jus Markisa,Passion Fruit Juice,"Rp 22,000",Jus,Juices,Jus markisa dengan rasa asam manis tropis yang menyegarkan.,Passion fruit juice with a refreshing tropical sweet-sour flavor.
56,Temulawak,Temulawak Herbal Drink,"Rp 8,000",Non-Kopi,Non-Coffee Drinks,Temulawak dingin dengan rasa herbal khas yang ringan dan menyegarkan.,Chilled temulawak herbal drink with a light and refreshing traditional taste.
57,Teh,Tea,"Rp 10,000",Non-Kopi,Non-Coffee Drinks,Teh sederhana yang dapat dinikmati hangat atau dingin sesuai selera.,Classic tea served hot or cold according to your preference.
58,Air Mineral,Mineral Water,"Rp 8,000",Non-Kopi,Non-Coffee Drinks,Air mineral kemasan untuk pilihan minuman yang praktis dan netral.,"Bottled mineral water, a practical and neutral drink option."
59,Pandan Latte Panas,Hot Pandan Latte,"Rp 21,000",Kopi,Coffee,Pandan latte panas dengan aroma pandan lembut dan rasa kopi yang creamy.,Hot pandan latte with a soft pandan aroma and creamy coffee taste.
60,Cappuccino Panas,Hot Cappuccino,"Rp 18,000",Kopi,Coffee,Cappuccino panas dengan busa lembut dan rasa kopi yang seimbang.,Hot cappuccino with soft foam and a balanced coffee flavor.
61,Cafe Latte Panas,Hot Cafe Latte,"Rp 19,000",Kopi,Coffee,Cafe latte panas dengan tekstur creamy dan rasa kopi yang halus.,Hot cafe latte with a creamy texture and smooth coffee taste.
62,Americano Panas,Hot Americano,"Rp 16,000",Kopi,Coffee,Americano panas dengan karakter kopi yang bersih dan tidak terlalu berat.,Hot Americano with a clean coffee character that is not too heavy.
63,Mochaccino Panas,Hot Mochaccino,"Rp 21,000",Kopi,Coffee,Mochaccino panas memadukan kopi dan cokelat dalam rasa yang lembut.,Hot mochaccino blends coffee and chocolate into a smooth drink.
64,Extra Shot Espresso,Extra Espresso Shot,"Rp 5,000",Kopi,Coffee,Tambahan espresso untuk memperkuat rasa kopi pada minuman pilihan.,An extra espresso shot to intensify the coffee flavor in your drink.
65,Kopi Matcha Dingin,Iced Matcha Coffee,"Rp 19,000",Kopi,Coffee,"Kopi matcha dingin dengan perpaduan rasa earthy, creamy, dan segar.","Iced matcha coffee combining earthy, creamy, and refreshing notes."
66,Kopi Red Velvet Dingin,Iced Red Velvet Coffee,"Rp 19,000",Kopi,Coffee,Kopi red velvet dingin dengan rasa manis lembut dan sentuhan kopi.,Iced red velvet coffee with soft sweetness and a touch of coffee.
67,Mocktail Virgin Mojito,Virgin Mojito Mocktail,"Rp 20,000",Mocktail,Mocktails,Virgin mojito segar dengan sensasi mint dan jeruk nipis tanpa alkohol.,"Fresh virgin mojito with mint and lime notes, served alcohol-free."
68,Mocktail Passion Mojito,Passion Mojito Mocktail,"Rp 22,000",Mocktail,Mocktails,Passion mojito dengan rasa markisa tropis yang segar dan ringan.,Passion mojito with a light and refreshing tropical passion fruit taste.
69,Mocktail Strawberry Mojito,Strawberry Mojito Mocktail,"Rp 22,000",Mocktail,Mocktails,Strawberry mojito dengan rasa buah manis segar dan aroma mint.,Strawberry mojito with fresh fruity sweetness and a mint aroma.
70,Es Teh Leci,Iced Lychee Tea,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Es teh leci dengan aroma buah yang wangi dan rasa manis menyegarkan.,Iced lychee tea with a fragrant fruity aroma and refreshing sweetness.
71,Es Teh Lemon,Iced Lemon Tea,"Rp 12,000",Non-Kopi,Non-Coffee Drinks,Es teh lemon dengan rasa teh ringan dan sentuhan asam segar.,Iced lemon tea with a light tea taste and a fresh citrus touch.
72,Es Teh Markisa,Iced Passion Fruit Tea,"Rp 15,000",Non-Kopi,Non-Coffee Drinks,Es teh markisa memberi rasa tropis asam manis yang mudah dinikmati.,Iced passion fruit tea with an easy-to-enjoy tropical sweet-sour taste.
73,Es Teh Stroberi,Iced Strawberry Tea,"Rp 15,000",Non-Kopi,Non-Coffee Drinks,Es teh stroberi dengan rasa buah lembut yang menyegarkan.,Iced strawberry tea with a gentle fruity taste and refreshing finish.
74,Es Milkshake Vanilla,Iced Vanilla Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Milkshake vanilla dingin dengan rasa creamy klasik yang lembut.,Iced vanilla milkshake with a smooth and classic creamy flavor.
75,Es Milkshake Cokelat,Iced Chocolate Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Milkshake cokelat dingin dengan rasa manis pekat dan tekstur lembut.,Iced chocolate milkshake with rich sweetness and a smooth texture.
76,Es Milkshake Stroberi,Iced Strawberry Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Milkshake stroberi dingin dengan rasa buah manis dan creamy.,Iced strawberry milkshake with sweet fruity flavor and creamy texture.
77,Es Milkshake Pandan,Iced Pandan Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Milkshake pandan dingin dengan aroma pandan khas dan rasa creamy.,Iced pandan milkshake with a signature pandan aroma and creamy taste.
78,Cokelat Hangat,Hot Chocolate,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Cokelat hangat dengan rasa manis lembut yang cocok untuk suasana santai.,"Hot chocolate with soft sweetness, perfect for a relaxed moment."
79,Cokelat Dingin,Iced Chocolate,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Cokelat dingin yang creamy dan menyegarkan untuk pencinta rasa cokelat.,Iced chocolate that is creamy and refreshing for chocolate lovers.
80,Matcha Hangat,Hot Matcha,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Matcha hangat dengan rasa earthy lembut dan tekstur minuman yang halus.,Hot matcha with gentle earthy notes and a smooth drink texture.
81,Es Matcha,Iced Matcha,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,"Es matcha dengan rasa segar, creamy, dan aroma teh hijau yang khas.","Iced matcha with a fresh, creamy taste and signature green tea aroma."
82,Red Velvet Hangat,Hot Red Velvet,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Red velvet hangat dengan rasa manis lembut dan warna yang menarik.,Hot red velvet with gentle sweetness and an appealing color.
83,Es Red Velvet,Iced Red Velvet,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Es red velvet dengan rasa creamy ringan dan sensasi dingin yang menyegarkan.,Iced red velvet with light creaminess and a refreshing chilled sensation.
84,Bintang Pilsener,Bintang Pilsener,"Rp 40,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Pilsener disajikan dingin dengan rasa bir yang ringan dan familiar.,Bintang Pilsener served chilled with a light and familiar beer taste.
85,Bintang Anggur Merah,Bintang Anggur Merah,"Rp 45,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Anggur Merah memiliki karakter manis ringan dengan aroma buah.,Bintang Anggur Merah offers a light sweetness with fruity aroma.
86,Bintang Crystal,Bintang Crystal,"Rp 40,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Crystal disajikan dingin dengan rasa yang lebih halus dan segar.,Bintang Crystal served chilled with a smoother and fresher taste.
87,Draft Beer,Draft Beer,"Rp 30,000",Bir & Minuman Beralkohol,Beer & Liquor,Draft beer dingin dengan sensasi segar yang cocok sebagai minuman santai.,"Cold draft beer with a refreshing feel, suitable for a relaxed drink."
88,Singaraja Beer,Singaraja Beer,"Rp 30,000",Bir & Minuman Beralkohol,Beer & Liquor,Singaraja Beer disajikan dingin dengan rasa ringan khas bir lokal.,Singaraja Beer served chilled with the light taste of a local beer.
89,Arak Damai Baleganjur,Arak Damai Baleganjur,"Rp 35,000",Bir & Minuman Beralkohol,Beer & Liquor,"Arak Damai Baleganjur dengan karakter khas lokal, disajikan sebagai minuman pilihan.",Arak Damai Baleganjur has a local character and is served as a specialty drink.
90,Schweppes Tonic Water 330 ml,Schweppes Tonic Water 330 ml,"Rp 9,000",Non-Kopi,Non-Coffee Drinks,Tonic water dengan rasa pahit segar dan gelembung yang ringan.,Tonic water with a fresh bitter note and light carbonation.
91,Sprite Lemon-Lime,Sprite Lemon-Lime,"Rp 9,000",Non-Kopi,Non-Coffee Drinks,Sprite lemon-lime dengan sensasi soda segar dan rasa citrus yang ringan.,Sprite lemon-lime with refreshing soda bubbles and a light citrus taste.
92,Kentang Goreng,French Fries,"Rp 22,000",Camilan,Snacks,"Kentang goreng renyah, cocok untuk camilan ringan atau teman ngobrol.","Crispy french fries, perfect as a light snack or for sharing."
93,Risoles Mayo,Mayonnaise Rissole,"Rp 18,000",Camilan,Snacks,Risoles mayo dengan isian creamy dan kulit luar yang renyah.,Mayonnaise rissole with a creamy filling and crispy outer layer.
94,Risoles Sayur,Vegetable Rissole,"Rp 18,000",Camilan,Snacks,Risoles sayur berisi isian sayuran gurih dalam balutan kulit renyah.,Vegetable rissole filled with savory vegetables in a crispy wrapper.
95,Siomay Ayam,Steamed Chicken Dumplings,"Rp 22,000",Camilan,Snacks,Siomay ayam kukus dengan rasa gurih lembut dan tekstur kenyal.,Steamed chicken dumplings with a soft savory taste and chewy texture.
96,Siomay Mozzarella Cheese,Mozzarella Cheese Dumplings,"Rp 22,000",Camilan,Snacks,Siomay mozzarella cheese dengan isian keju yang memberi rasa creamy.,Mozzarella cheese dumplings with a creamy cheese-filled taste.
97,Lumpia Sayur,Vegetable Spring Rolls,"Rp 22,000",Camilan,Snacks,Lumpia sayur renyah dengan isian sayuran gurih yang ringan.,Crispy vegetable spring rolls with a light and savory filling.
98,Samosa Sayur,Vegetable Samosa,"Rp 22,000",Camilan,Snacks,Samosa sayur dengan kulit renyah dan isian berbumbu yang harum.,Vegetable samosa with a crispy shell and aromatic seasoned filling.
