No,Nama Menu,Menu Name (EN),Harga,Kategori,Category (EN),Deskripsi (ID),Description (EN)
16,Cap Cay Ayam,Chicken Cap Cay,"Rp 28,000",Sayuran,Vegetables,Cap cay sayuran dengan tambahan ayam dan kuah gurih yang ringan.,Mixed vegetable cap cay with chicken and a light savory sauce.
17,Cap Cay Udang,Shrimp Cap Cay,"Rp 35,000",Sayuran,Vegetables,Cap cay sayuran dengan tambahan udang dan kuah gurih yang ringan.,Mixed vegetable cap cay with shrimp and a light savory sauce.
18,Cap Cay Cumi,Squid Cap Cay,"Rp 35,000",Sayuran,Vegetables,Cap cay sayuran dengan tambahan cumi dan kuah gurih yang ringan.,Mixed vegetable cap cay with squid and a light savory sauce.
19,Plecing Kangkung,Water Spinach with Spicy Tomato Sambal,"Rp 13,500",Sayuran,Vegetables,Kangkung segar dengan sambal tomat pedas khas Bali.,Fresh water spinach served with Balinese spicy tomato sambal.
20,Tumis Kangkung,Sautéed Water Spinach,"Rp 13,500",Sayuran,Vegetables,Kangkung segar yang ditumis dengan bumbu sederhana.,Fresh water spinach sautéed with simple seasoning.
21,Cah Sayur Hijau,Stir-Fried Green Vegetables,"Rp 18,000",Sayuran,Vegetables,Sayuran hijau segar yang ditumis ringan dengan bumbu gurih.,Fresh green vegetables lightly stir-fried with savory seasoning.
22,Tumis Ayam Brokoli,Chicken and Broccoli Stir-Fry,"Rp 35,000",Sayuran,Vegetables,Tumis ayam dan brokoli dengan bumbu gurih yang ringan.,Chicken and broccoli stir-fried with light savory seasoning.
23,Mujair Nyat-Nyat,Mujair Fish with Balinese Nyat-Nyat Sauce,"Rp 37,000",Signature,Signature Dishes,Mujair dimasak dengan bumbu nyat-nyat khas Bali yang kaya rempah.,Mujair Fish cooked in rich Balinese nyat-nyat spices.
24,Ikan Laut Nyat-Nyat,Sea Fish with Balinese Nyat-Nyat Sauce,"Rp 45,000",Signature,Signature Dishes,Ikan laut dimasak dengan bumbu nyat-nyat khas Bali yang kaya rempah.,Sea Fish cooked in rich Balinese nyat-nyat spices.
25,Ayam Nyat-Nyat,Chicken with Balinese Nyat-Nyat Sauce,"Rp 24,000",Signature,Signature Dishes,Ayam dimasak dengan bumbu nyat-nyat khas Bali yang kaya rempah.,Chicken cooked in rich Balinese nyat-nyat spices.
26,Bebek Nyat-Nyat,Duck with Balinese Nyat-Nyat Sauce,"Rp 28,000",Signature,Signature Dishes,Bebek dimasak dengan bumbu nyat-nyat khas Bali yang kaya rempah.,Duck cooked in rich Balinese nyat-nyat spices.
27,Udang Panggang Saus Madu,Grilled Prawns with Honey Sauce,"Rp 50,000",Panggang,Grilled Dishes,Udang Panggang Saus Madu dengan cita rasa panggang dan bumbu gurih yang ringan.,Grilled Prawns with Honey Sauce with a grilled aroma and light savory seasoning.
28,Sosis Ayam,Grilled Chicken Sausage,"Rp 22,500",Panggang,Grilled Dishes,Sosis Ayam dengan cita rasa panggang dan bumbu gurih yang ringan.,Grilled Chicken Sausage with a grilled aroma and light savory seasoning.
29,Sosis Sapi,Grilled Beef Sausage,"Rp 22,500",Panggang,Grilled Dishes,Sosis Sapi dengan cita rasa panggang dan bumbu gurih yang ringan.,Grilled Beef Sausage with a grilled aroma and light savory seasoning.
30,Cumi Asam Manis Pedas,Spicy Sweet and Sour Squid,"Rp 50,000",Asam Manis,Sweet & Sour Dishes,Cumi dengan saus asam manis pedas yang segar dan gurih.,"Spicy Sweet and Sour Squid with a fresh, savory, spicy sweet and sour sauce."
31,Gurame Asam Manis Pedas,Spicy Sweet and Sour Gurame,"Rp 55,000",Asam Manis,Sweet & Sour Dishes,Gurame dengan saus asam manis pedas yang segar dan gurih.,"Spicy Sweet and Sour Gurame with a fresh, savory, spicy sweet and sour sauce."
32,Udang Asam Manis Pedas,Spicy Sweet and Sour Prawns,"Rp 55,000",Asam Manis,Sweet & Sour Dishes,Udang dengan saus asam manis pedas yang segar dan gurih.,"Spicy Sweet and Sour Prawns with a fresh, savory, spicy sweet and sour sauce."
33,Ayam Panggang Saus Madu,Grilled Chicken with Honey Sauce,"Rp 18,000",Panggang,Grilled Dishes,Ayam Panggang Saus Madu dengan cita rasa panggang dan bumbu gurih yang ringan.,Grilled Chicken with Honey Sauce with a grilled aroma and light savory seasoning.
34,Pizza Hot Baleganjur,Baleganjur Hot Pizza,"Rp 37,000",Pizza,Pizza,"Pizza pedas khas Baleganjur dengan paprika, saus concasse, bawang, tomat, brokoli, jamur, ayam, dan keju mozzarella.","Baleganjur spicy pizza with bell pepper, concasse sauce, onion, tomato, broccoli, mushroom, chicken, and mozzarella cheese."
35,Pizza Daging Keju,Ham and Cheese Pizza,"Rp 32,000",Pizza,Pizza,"Pizza dengan ham, sosis, saus concasse, bawang, lada hitam, dan keju mozzarella.","Pizza with ham, sausage, concasse sauce, onion, black pepper, and mozzarella cheese."
36,Pizza Barbekyu,Barbecue Pizza,"Rp 32,000",Pizza,Pizza,"Pizza ayam dengan saus concasse, saus barbekyu, dan keju mozzarella.","Chicken pizza with concasse sauce, barbecue sauce, and mozzarella cheese."
37,Pizza Hawai,Hawaiian Pizza,"Rp 32,000",Pizza,Pizza,"Pizza ayam dengan saus concasse, nanas, dan keju mozzarella.","Chicken pizza with concasse sauce, pineapple, and mozzarella cheese."
38,Pizza Vegetarian,Vegetarian Pizza,"Rp 32,000",Pizza,Pizza,"Pizza sayuran dengan paprika, saus concasse, bawang, tomat, brokoli, dan keju mozzarella.","Vegetable pizza with bell pepper, concasse sauce, onion, tomato, broccoli, and mozzarella cheese."
39,Jus Jeruk,Orange Juice,"Rp 15,000",Jus,Juices,Jus jeruk segar dengan rasa buah yang alami dan menyegarkan.,Fresh orange juice with a natural and refreshing fruit taste.
40,Jus Mangga,Mango Juice,"Rp 18,000",Jus,Juices,Jus mangga segar dengan rasa buah yang alami dan menyegarkan.,Fresh mango juice with a natural and refreshing fruit taste.
41,Jus Blueberry,Blueberry Juice,"Rp 20,000",Jus,Juices,Jus blueberry segar dengan rasa buah yang alami dan menyegarkan.,Fresh blueberry juice with a natural and refreshing fruit taste.
42,Jus Blackberry,Blackberry Juice,"Rp 20,000",Jus,Juices,Jus blackberry segar dengan rasa buah yang alami dan menyegarkan.,Fresh blackberry juice with a natural and refreshing fruit taste.
43,Jus Mulberry,Mulberry Juice,"Rp 20,000",Jus,Juices,Jus mulberry segar dengan rasa buah yang alami dan menyegarkan.,Fresh mulberry juice with a natural and refreshing fruit taste.
44,Jus Raspberry,Raspberry Juice,"Rp 20,000",Jus,Juices,Jus raspberry segar dengan rasa buah yang alami dan menyegarkan.,Fresh raspberry juice with a natural and refreshing fruit taste.
45,Jus Stroberi,Strawberry Juice,"Rp 18,000",Jus,Juices,Jus stroberi segar dengan rasa buah yang alami dan menyegarkan.,Fresh strawberry juice with a natural and refreshing fruit taste.
46,Jus Nanas,Pineapple Juice,"Rp 18,000",Jus,Juices,Jus nanas segar dengan rasa buah yang alami dan menyegarkan.,Fresh pineapple juice with a natural and refreshing fruit taste.
47,Jus Melon,Melon Juice,"Rp 15,000",Jus,Juices,Jus melon segar dengan rasa buah yang alami dan menyegarkan.,Fresh melon juice with a natural and refreshing fruit taste.
48,Jus Alpukat,Avocado Juice,"Rp 18,000",Jus,Juices,Jus alpukat segar dengan rasa buah yang alami dan menyegarkan.,Fresh avocado juice with a natural and refreshing fruit taste.
49,Jus Tomat,Tomato Juice,"Rp 10,000",Jus,Juices,Jus tomat segar dengan rasa buah yang alami dan menyegarkan.,Fresh tomato juice with a natural and refreshing fruit taste.
50,Jus Jambu,Guava Juice,"Rp 18,000",Jus,Juices,Jus jambu segar dengan rasa buah yang alami dan menyegarkan.,Fresh guava juice with a natural and refreshing fruit taste.
51,Jus Buah Naga,Dragon Fruit Juice,"Rp 18,000",Jus,Juices,Jus buah naga segar dengan rasa buah yang alami dan menyegarkan.,Fresh dragon fruit juice with a natural and refreshing fruit taste.
52,Jus Durian,Season Fruit Juice,"Rp 18,000",Jus,Juices,Jus durian segar dengan rasa buah yang alami dan menyegarkan.,Fresh durian juice with a natural and refreshing fruit taste.
53,Jus Semangka,Watermelon Juice,"Rp 15,000",Jus,Juices,Jus semangka segar dengan rasa buah yang alami dan menyegarkan.,Fresh watermelon juice with a natural and refreshing fruit taste.
54,Jus Mixberry,Mixed Berry Juice,"Rp 22,000",Jus,Juices,Jus campuran berry segar dengan rasa buah yang alami dan menyegarkan.,Fresh mixed berries juice with a natural and refreshing fruit taste.
55,Jus Markisa,Passion Fruit Juice,"Rp 22,000",Jus,Juices,Jus markisa segar dengan rasa buah yang alami dan menyegarkan.,Fresh passion fruit juice with a natural and refreshing fruit taste.
56,Temulawak,Temulawak Herbal Drink,"Rp 8,000",Non-Kopi,Non-Coffee Drinks,Minuman temulawak segar dengan rasa herbal khas Indonesia.,Refreshing temulawak herbal drink with a traditional Indonesian flavor.
57,Teh,Tea,"Rp 10,000",Non-Kopi,Non-Coffee Drinks,Teh klasik yang dapat dinikmati sebagai minuman pendamping.,Classic tea served as a simple companion drink.
58,Air Mineral,Mineral Water,"Rp 8,000",Non-Kopi,Non-Coffee Drinks,Air mineral kemasan untuk pilihan minuman yang ringan dan praktis.,Bottled mineral water for a light and simple drink option.
59,Pandan Latte Panas,Hot Pandan Latte,"Rp 21,000",Kopi,Coffee,Minuman kopi pandan latte panas dengan rasa yang lembut dan seimbang.,Hot Pandan Latte coffee drink with a smooth and balanced taste.
60,Cappuccino Panas,Hot Cappuccino,"Rp 18,000",Kopi,Coffee,Minuman kopi cappuccino panas dengan rasa yang lembut dan seimbang.,Hot Cappuccino coffee drink with a smooth and balanced taste.
61,Cafe Latte Panas,Hot Cafe Latte,"Rp 19,000",Kopi,Coffee,Minuman kopi cafe latte panas dengan rasa yang lembut dan seimbang.,Hot Cafe Latte coffee drink with a smooth and balanced taste.
62,Americano Panas,Hot Americano,"Rp 16,000",Kopi,Coffee,Minuman kopi americano panas dengan rasa yang lembut dan seimbang.,Hot Americano coffee drink with a smooth and balanced taste.
63,Mochaccino Panas,Hot Mochaccino,"Rp 21,000",Kopi,Coffee,Minuman kopi mochaccino panas dengan rasa yang lembut dan seimbang.,Hot Mochaccino coffee drink with a smooth and balanced taste.
64,Extra Shot Espresso,Extra Espresso Shot,"Rp 5,000",Kopi,Coffee,Tambahan satu shot espresso untuk memperkuat rasa kopi.,An extra espresso shot to enhance the coffee flavor.
65,Kopi Matcha Dingin,Iced Matcha Coffee,"Rp 19,000",Kopi,Coffee,Minuman kopi kopi matcha dingin dengan rasa yang lembut dan seimbang.,Iced Matcha Coffee coffee drink with a smooth and balanced taste.
66,Kopi Red Velvet Dingin,Iced Red Velvet Coffee,"Rp 19,000",Kopi,Coffee,Minuman kopi kopi red velvet dingin dengan rasa yang lembut dan seimbang.,Iced Red Velvet Coffee coffee drink with a smooth and balanced taste.
67,Mocktail Virgin Mojito,Virgin Mojito Mocktail,"Rp 20,000",Mocktail,Mocktails,Mocktail segar dengan rasa buah dan sensasi dingin yang menyegarkan.,Refreshing mocktail with fruity flavor and a cool finish.
68,Mocktail Passion Mojito,Passion Mojito Mocktail,"Rp 22,000",Mocktail,Mocktails,Mocktail segar dengan rasa buah dan sensasi dingin yang menyegarkan.,Refreshing mocktail with fruity flavor and a cool finish.
69,Mocktail Strawberry Mojito,Strawberry Mojito Mocktail,"Rp 22,000",Mocktail,Mocktails,Mocktail segar dengan rasa buah dan sensasi dingin yang menyegarkan.,Refreshing mocktail with fruity flavor and a cool finish.
70,Es Teh Leci,Iced Lychee Tea,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es teh leci dengan rasa manis dan menyegarkan.,Iced Lychee Tea non-coffee drink with a sweet and refreshing taste.
71,Es Teh Lemon,Iced Lemon Tea,"Rp 12,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es teh lemon dengan rasa manis dan menyegarkan.,Iced Lemon Tea non-coffee drink with a sweet and refreshing taste.
72,Es Teh Markisa,Iced Passion Fruit Tea,"Rp 15,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es teh markisa dengan rasa manis dan menyegarkan.,Iced Passion Fruit Tea non-coffee drink with a sweet and refreshing taste.
73,Es Teh Stroberi,Iced Strawberry Tea,"Rp 15,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es teh stroberi dengan rasa manis dan menyegarkan.,Iced Strawberry Tea non-coffee drink with a sweet and refreshing taste.
74,Es Milkshake Vanilla,Iced Vanilla Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es milkshake vanilla dengan rasa manis dan menyegarkan.,Iced Vanilla Milkshake non-coffee drink with a sweet and refreshing taste.
75,Es Milkshake Cokelat,Iced Chocolate Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es milkshake cokelat dengan rasa manis dan menyegarkan.,Iced Chocolate Milkshake non-coffee drink with a sweet and refreshing taste.
76,Es Milkshake Stroberi,Iced Strawberry Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es milkshake stroberi dengan rasa manis dan menyegarkan.,Iced Strawberry Milkshake non-coffee drink with a sweet and refreshing taste.
77,Es Milkshake Pandan,Iced Pandan Milkshake,"Rp 18,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es milkshake pandan dengan rasa manis dan menyegarkan.,Iced Pandan Milkshake non-coffee drink with a sweet and refreshing taste.
78,Cokelat Hangat,Hot Chocolate,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi cokelat hangat dengan rasa manis dan menyegarkan.,Hot Chocolate non-coffee drink with a sweet and refreshing taste.
79,Cokelat Dingin,Iced Chocolate,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi cokelat dingin dengan rasa manis dan menyegarkan.,Iced Chocolate non-coffee drink with a sweet and refreshing taste.
80,Matcha Hangat,Hot Matcha,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi matcha hangat dengan rasa manis dan menyegarkan.,Hot Matcha non-coffee drink with a sweet and refreshing taste.
81,Es Matcha,Iced Matcha,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es matcha dengan rasa manis dan menyegarkan.,Iced Matcha non-coffee drink with a sweet and refreshing taste.
82,Red Velvet Hangat,Hot Red Velvet,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi red velvet hangat dengan rasa manis dan menyegarkan.,Hot Red Velvet non-coffee drink with a sweet and refreshing taste.
83,Es Red Velvet,Iced Red Velvet,"Rp 20,000",Non-Kopi,Non-Coffee Drinks,Minuman non-kopi es red velvet dengan rasa manis dan menyegarkan.,Iced Red Velvet non-coffee drink with a sweet and refreshing taste.
84,Bintang Pilsener,Bintang Pilsener,"Rp 40,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Pilsener sebagai pilihan minuman beralkohol atau pendamping minuman.,Bintang Pilsener served as an alcoholic beverage or drink companion.
85,Bintang Anggur Merah,Bintang Anggur Merah,"Rp 45,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Anggur Merah sebagai pilihan minuman beralkohol atau pendamping minuman.,Bintang Anggur Merah served as an alcoholic beverage or drink companion.
86,Bintang Crystal,Bintang Crystal,"Rp 40,000",Bir & Minuman Beralkohol,Beer & Liquor,Bintang Crystal sebagai pilihan minuman beralkohol atau pendamping minuman.,Bintang Crystal served as an alcoholic beverage or drink companion.
87,Draft Beer,Draft Beer,"Rp 30,000",Bir & Minuman Beralkohol,Beer & Liquor,Draft Beer sebagai pilihan minuman beralkohol atau pendamping minuman.,Draft Beer served as an alcoholic beverage or drink companion.
88,Singaraja Beer,Singaraja Beer,"Rp 30,000",Bir & Minuman Beralkohol,Beer & Liquor,Singaraja Beer sebagai pilihan minuman beralkohol atau pendamping minuman.,Singaraja Beer served as an alcoholic beverage or drink companion.
89,Arak Damai Baleganjur,Arak Damai Baleganjur,"Rp 35,000",Bir & Minuman Beralkohol,Beer & Liquor,Arak Damai Baleganjur sebagai pilihan minuman beralkohol atau pendamping minuman.,Arak Damai Baleganjur served as an alcoholic beverage or drink companion.
90,Schweppes Tonic Water 330 ml,Schweppes Tonic Water 330 ml,"Rp 9,000",Non-Kopi,Non-Coffee Drinks,Tonic water kemasan 330 ml dengan rasa segar berkarbonasi.,330 ml bottled tonic water with a refreshing carbonated taste.
91,Sprite Lemon-Lime,Sprite Lemon-Lime,"Rp 9,000",Non-Kopi,Non-Coffee Drinks,Minuman soda lemon-lime yang segar dan berkarbonasi.,Refreshing lemon-lime carbonated soft drink.
92,Kentang Goreng,French Fries,"Rp 22,000",Camilan,Snacks,Kentang Goreng sebagai camilan gurih yang cocok untuk pendamping makanan atau minuman.,French Fries served as a savory snack to enjoy with food or drinks.
93,Risoles Mayo,Mayonnaise Rissole,"Rp 18,000",Camilan,Snacks,"Risoles berisi sosis, telur rebus, dan mayones.","Rissole filled with sausage, boiled egg, and mayonnaise."
94,Risoles Sayur,Vegetable Rissole,"Rp 18,000",Camilan,Snacks,"Risoles berisi wortel, labu siam, daun bawang, dan seledri.","Rissole filled with carrot, chayote, spring onion, and celery."
95,Siomay Ayam,Steamed Chicken Dumplings,"Rp 22,000",Camilan,Snacks,Siomay Ayam sebagai camilan gurih yang cocok untuk pendamping makanan atau minuman.,Steamed Chicken Dumplings served as a savory snack to enjoy with food or drinks.
96,Siomay Mozzarella Cheese,Mozzarella Cheese Dumplings,"Rp 22,000",Camilan,Snacks,Siomay Mozzarella Cheese sebagai camilan gurih yang cocok untuk pendamping makanan atau minuman.,Mozzarella Cheese Dumplings served as a savory snack to enjoy with food or drinks.
97,Lumpia Sayur,Vegetable Spring Rolls,"Rp 22,000",Camilan,Snacks,Lumpia Sayur sebagai camilan gurih yang cocok untuk pendamping makanan atau minuman.,Vegetable Spring Rolls served as a savory snack to enjoy with food or drinks.
98,Samosa Sayur,Vegetable Samosa,"Rp 22,000",Camilan,Snacks,Samosa Sayur sebagai camilan gurih yang cocok untuk pendamping makanan atau minuman.,Vegetable Samosa served as a savory snack to enjoy with food or drinks.
